Year,Company/Brand,Sector,Stage,Amount($),HeadQuarter
2018,Ekincare,Agriculture,Series A,1500000.0,Hyderabad
2018,Streo,Agriculture,Seed,17030531.594164457,Gurgaon
2018,Groww,Technology,Seed,120000.0,Kormangala
2018,Cell Propulsion,Agriculture,Seed,84000.0,Bengaluru
2018,Chezuba,Technology,Angel,16800.0,Hyderabad
2018,Ontrack Technologies Pvt. Ltd,Commerce,Seed,17030531.594164457,Bengaluru
2018,Wealthtrust,Technology,Seed,500000.0,Mumbai
2018,Faclon Labs,Technology,Seed,17030531.594164457,Mumbai
2018,Awign Enterprises,Business Intelligence,Seed,600000.0,Bengaluru
2018,CollPoll,Education,Seed,17030531.594164457,Bengaluru
2018,Zyla Health,Hospitality,Seed,17030531.594164457,New Delhi
2018,Hubhopper,Technology,Series A,500000.0,Delhi
2018,Rubix108 Technologies,Technology,Seed,1000000.0,Pune
2018,Workflexi,Business Intelligence,Seed,120000.0,Bengaluru
2018,Streak,Finance,Seed,270000.0,Bengaluru
2018,Kuants,Finance,Seed,60000.0,Gurgaon
2018,NiYO Solutions,Technology,Series A,13200000.0,Bengaluru
2018,Hippo Video,Technology,Seed,17030531.594164457,Chennai
2018,Satvacart,Food & Beverages,Seed,17030531.594164457,Gurgaon
2018,Daaki,Health,Angel,17030531.594164457,Bengaluru
2018,Simulanis,Lifestyle,Seed,500000.0,New Delhi
2018,MY CHIRAAG CAB,Hospitality,Seed,1000000.0,Jaipur
2018,WOTU,Food & Beverages,Seed,17030531.594164457,Bengaluru
2018,Flathalt,Agriculture,Angel,50000.0,Gurgaon
2018,True Elements,Food & Beverages,Seed,600000.0,Pune
2018,Trendlyne Technologies,Finance,Seed,200000.0,Bengaluru
2018,Planys Technologies,Energy,Series A,1682400.0,Chennai
2018,HealthPlix,Lifestyle,Series A,3000000.0,Bengaluru
2018,dishq,Agriculture,Seed,400000.0,Bengaluru
2018,Entropik Technology,Technology,Seed,1100000.0,Bengaluru
2018,myHQ,Business Intelligence,Series A,500000.0,Delhi
2018,Trell,Agriculture,Seed,1250000.0,Bengaluru City
2018,Kidovators (by GyanLab),Technology,Seed,180000.0,Bengaluru
2018,Log 9 Materials,Technology,Seed,360000.0,Uttar Pradesh
2018,VTION,Technology,Seed,230400.0,Gurgaon
2018,HousingMan.com,Agriculture,Seed,1236000.0,Bengaluru
2018,Steradian Semiconductors,Agriculture,Seed,17030531.594164457,Bengaluru
2018,RupeeCircle,Finance,Seed,480000.0,Mumbai
2018,Wooden Street,Technology,Series A,1000000.0,Jaipur
2018,The Ken,Agriculture,Series A,1500000.0,Bengaluru
2018,SaffronStays,Agriculture,Seed,2000000.0,Mumbai
2018,Vebbler,Technology,Seed,17030531.594164457,Bengaluru
2018,Foyr,Lifestyle,Series A,4200000.0,Pune
2018,MEngage,Technology,Seed,175000.0,Jaipur
2018,Inner Being Wellness,Agriculture,Angel,420000.0,Hyderabad
2018,Kobster,Business Intelligence,Seed,17030531.594164457,Chennai
2018,Wishberry,Finance,Series A,1200000.0,Mumbai
2018,McXtra,Finance,Seed,1300000.0,Andheri
2018,Magic Crate,Technology,Seed,17030531.594164457,Bengaluru
2018,SmartVizX,Technology,Seed,1450000.0,Noida
2018,MySEODoc,Agriculture,Seed,17030531.594164457,Delhi
2018,ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Agriculture,Seed,2400.0,Pune
2018,Scale Labs,Agriculture,Seed,1000000.0,Delhi
2018,HungerBox,Food & Beverages,Series A,4500000.0,Bengaluru
2018,Biryani By Kilo,Food & Beverages,Seed,1000000.0,Noida
2018,Wholesome Habits (EAT Anytime),Food & Beverages,Seed,500000.0,Mumbai
2018,GoBumpr,Technology,Seed,600000.0,Mylapore
2018,Fixpocket,Technology,Seed,250000.0,Ahmedabad
2018,edureka!,Technology,Series A,2000000.0,Bengaluru
2018,Hashtag Loyalty Private Limited,Technology,Seed,17030531.594164457,Mumbai
2018,Wow Express,Technology,Series A,4500000.0,Mumbai
